isBad_30,CityId,cashTotalAmt,cashTotalCnt,education,idVerify,inCourt,maritalStatus,monthCardLargeAmt,netLength,noTransWeekPre,onlineTransAmt,onlineTransCnt,publicPayAmt,publicPayCnt,threeVerify,transTotalAmt,transTotalCnt,transCnt_mean,transCnt_non_null_months,transAmt_mean,transAmt_non_null_months,cashCnt_mean,cashCnt_non_null_months,cashAmt_mean,cashAmt_non_null_months,isDue,isCrime,isBlackList,Han,age,sex,card_age
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.9,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,5.0,0.0,5.0,,,,,0.0,0.0,0.0,1.0,34.0,男,22.0
0,其它,,,初中,一致,0,未说明,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,36.0,男,0.0
0,其它,,,高中,一致,0,已婚,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,31.0,男,-6.0
0,其它,4400.0,5.0,小学,一致,0,未婚,170.0,12-24个月,0.9,0.0,0.0,0.0,0.0,不一致,170.0,2.0,1.0,2.0,85.0,2.0,2.5,2.0,2200.0,2.0,0.0,0.0,0.0,1.0,26.0,男,-2.0
1,其它,,,小学,一致,1,已婚,50.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,50.0,1.0,1.0,1.0,50.0,1.0,,,,,0.0,0.0,0.0,1.0,65.0,男,-2.0
0,其它,,,小学,一致,0,未说明,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,24.0,男,41.0
0,二线城市,,,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,1.0,一致,0.0,1.0,1.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,31.0,女,-11.0
0,二线城市,16600.0,7.0,初中,一致,0,已婚,0.0,24 个月以上,0.88,0.0,1.0,0.0,0.0,一致,0.0,0.0,0.0,5.0,0.0,5.0,1.4,5.0,3320.0,5.0,0.0,0.0,0.0,1.0,34.0,女,36.0
0,其它,,,初中,一致,0,已婚,2700.0,24 个月以上,0.96,0.0,0.0,0.0,0.0,不一致,2700.0,1.0,0.5,2.0,1350.0,2.0,,,,,0.0,0.0,0.0,1.0,46.0,男,-1.0
0,新一线城市,,,初中,一致,0,已婚,99920.0,24 个月以上,0.85,0.0,0.0,0.0,0.0,不一致,307430.0,21.0,3.5,6.0,51238.33333333334,6.0,,,,,0.0,0.0,0.0,1.0,39.0,男,0.0
0,其它,,,高中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,33.0,男,50.0
0,其它,100600.0,49.0,小学,一致,0,已婚,140.0,24 个月以上,0.87,0.0,0.0,0.0,0.0,一致,140.0,1.0,0.16666666666666666,6.0,23.33333333333333,6.0,8.166666666666666,6.0,16766.666666666668,6.0,0.0,0.0,0.0,1.0,37.0,女,22.0
0,其它,,,Missing,一致,0,未说明,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,无记录,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,34.0,男,-8.0
0,其它,200.0,2.0,初中,一致,0,未婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,无记录,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,200.0,1.0,0.0,0.0,0.0,1.0,31.0,女,-6.0
0,其它,5600.0,4.0,初中,一致,0,未婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,5600.0,1.0,0.0,0.0,0.0,1.0,41.0,男,38.0
1,其它,,,Missing,不一致,0,未说明,0.0,24 个月以上,0.79,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,7.0,0.0,7.0,,,,,0.0,0.0,0.0,0.0,43.0,男,5.0
0,其它,13500.0,9.0,小学,一致,0,已婚,20000.0,24 个月以上,0.81,70000.0,7.0,0.0,0.0,不一致,73300.0,9.0,1.2222222222222223,9.0,8144.444444444444,9.0,1.8,5.0,2700.0,5.0,0.0,0.0,0.0,1.0,43.0,男,-4.0
0,新一线城市,,,初中,一致,1,未婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,32.0,男,17.0
0,其它,22100.0,13.0,高中,一致,0,已婚,0.0,24 个月以上,0.92,0.0,1.0,0.0,0.0,一致,0.0,0.0,0.0,3.0,0.0,3.0,6.5,2.0,11050.0,2.0,0.0,0.0,0.0,1.0,31.0,男,46.0
0,其它,33500.0,23.0,初中,一致,0,已婚,5400.0,12-24个月,0.71,5400.0,1.0,5770.0,2.0,无记录,7700.0,9.0,1.125,8.0,961.25,8.0,3.2857142857142856,7.0,4785.714285714285,7.0,0.0,0.0,0.0,1.0,29.0,男,0.0
0,二线城市,69100.0,48.0,小学,一致,0,已婚,1130.0,12-24个月,0.73,0.0,0.0,0.0,0.0,不一致,1630.0,2.0,0.25,8.0,203.75,8.0,6.0,8.0,8637.5,8.0,0.0,0.0,0.0,0.0,33.0,男,11.0
0,其它,,,Missing,一致,0,未说明,0.0,12-24个月,0.98,0.0,0.0,0.0,0.0,无记录,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,32.0,男,-9.0
0,其它,,,初中,一致,0,已婚,14700.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,不一致,14700.0,1.0,1.0,1.0,14700.0,1.0,,,,,0.0,0.0,0.0,1.0,36.0,女,24.0
0,其它,5000.0,3.0,初中,一致,0,已婚,21330.0,12-24个月,0.81,0.0,0.0,0.0,0.0,一致,82960.0,21.0,3.5,6.0,13825.0,6.0,3.0,1.0,5000.0,1.0,0.0,0.0,0.0,1.0,45.0,男,-2.0
0,其它,,,初中,一致,0,已婚,220.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,一致,220.0,2.0,2.0,1.0,220.0,1.0,,,,,0.0,0.0,0.0,1.0,40.0,男,0.0
0,其它,7600.0,4.0,小学,一致,0,未婚,690.0,24 个月以上,0.9,-100.0,1.0,0.0,0.0,不一致,690.0,1.0,0.25,4.0,172.5,4.0,1.3333333333333333,3.0,2533.333333333333,3.0,0.0,0.0,0.0,1.0,28.0,女,1.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,49.0,男,1.0
0,一线城市,5700.0,4.0,小学,一致,0,未婚,0.0,24 个月以上,0.94,0.0,0.0,0.0,0.0,一致,0.0,0.0,0.0,3.0,0.0,3.0,1.3333333333333333,3.0,1900.0,3.0,0.0,0.0,0.0,1.0,27.0,女,-1.0
0,其它,,,初中,一致,0,已婚,0.0,24 个月以上,0.98,0.0,0.0,0.0,0.0,无记录,0.0,0.0,0.0,1.0,0.0,1.0,,,,,0.0,0.0,0.0,1.0,32.0,男,8.0
0,其它,22900.0,15.0,Missing,一致,0,已婚,0.0,24 个月以上,0.81,0.0,0.0,0.0,0.0,一致,0.0,1.0,0.2,5.0,0.0,5.0,3.0,5.0,4580.0,5.0,0.0,0.0,0.0,1.0,35.0,男,0.0
0,其它,3000.0,1.0,初中,一致,0,已婚,100.0,12-24个月,0.94,0.0,2.0,0.0,0.0,一致,100.0,1.0,0.5,2.0,50.0,2.0,1.0,1.0,3000.0,1.0,0.0,0.0,0.0,1.0,34.0,男,1.0
0,其它,500.0,1.0,初中,一致,0,已婚,2070.0,24 个月以上,0.92,100.0,2.0,0.0,0.0,一致,2120.0,3.0,1.0,3.0,706.6666666666665,3.0,1.0,1.0,500.0,1.0,0.0,1.0,0.0,0.0,29.0,男,53.0
0,其它,,,小学,一致,0,未婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,26.0,男,2.0
0,其它,6900.0,9.0,初中,一致,0,已婚,58390.0,24 个月以上,0.56,0.0,2.0,0.0,2.0,一致,139050.0,54.0,5.666666666666668,9.0,15448.888888888889,9.0,1.5,6.0,1150.0,6.0,0.0,0.0,0.0,1.0,32.0,男,1.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,41.0,男,24.0
0,其它,,,初中,一致,0,已婚,,24 个月以上,,,,,,一致,,,,,,,,,,,0.0,0.0,0.0,1.0,41.0,男,25.0
0,一线城市,300.0,1.0,小学,一致,0,未婚,130.0,24 个月以上,0.94,140.0,2.0,0.0,0.0,一致,140.0,2.0,0.6666666666666666,3.0,46.66666666666666,3.0,1.0,1.0,300.0,1.0,0.0,0.0,0.0,1.0,25.0,男,0.0
0,其它,,,初中,一致,0,已婚,110.0,24 个月以上,0.85,160.0,7.0,0.0,0.0,一致,160.0,7.0,1.75,4.0,35.0,4.0,,,,,0.0,0.0,0.0,1.0,39.0,男,13.0
0,其它,,,初中,一致,0,已婚,10000.0,24 个月以上,0.92,10000.0,2.0,0.0,0.0,一致,10500.0,3.0,1.5,2.0,5250.0,2.0,,,,,0.0,0.0,0.0,1.0,45.0,男,23.0
